charset,Shift_JIS


//-----------------------------------------------
// ■さくら・うにゅう基本サーフェス
//-----------------------------------------------
0,さくら：素
1,さくら：エロ面
2,さくら：驚き
3,さくら：不安
4,さくら：はう～
5,さくら：笑顔
6,さくら：目閉じ
7,さくら：怒り
8,さくら：冷笑
9,さくら：照れ怒り
10,うにゅう：素
11,うにゅう：刮目
12,うにゅう：落下オチ
19,うにゅう：歌
20,さくら：風呂看板
22,さくら：落下オチ
25,さくら：歌


//-----------------------------------------------
// ■さくら拡張１(３０～)
//-----------------------------------------------
30,さくら：えぐえぐ
31,さくら：お、おＸＸちゃん‥
32,さくら：あんですとぉ？
33,さくら：ぐんにょり
34,さくら：いや～ん
35,さくら：いえぃ！
36,さくら：くかぁ～‥‥
37,さくら：犯人はお前だっ！
38,さくら：話は聞かせて貰った
39,さくら：知っちゃったんだね‥‥


//-----------------------------------------------
// ■うにゅう拡張１(４０～)
//-----------------------------------------------
40,うにゅう：漢泣き
41,うにゅう：エロ面
42,うにゅう：驚き
43,うにゅう：ぐんにょり
44,うにゅう：泣き
45,うにゅう：笑顔？
47,うにゅう：怒り
48,うにゅう：冷笑
49,うにゅう：括目（ダーク）


//-----------------------------------------------
// ■さくら拡張２(５０～)
//-----------------------------------------------
50,さくら：ほほぉぉ
51,さくら：ふにゃぁ‥‥
52,さくら：えへへへ～。（はなぢ）
53,さくら：たはは
54,さくら：なにするんだよぅ
55,さくら：え、えへへ‥
56,さくら：てへ（はぁと）
57,さくら：ぷんすか
58,さくら：HaHaHa!
59,さくら：くふふふ‥
60,さくら：えっと
61,さくら：うーんと
62,さくら：ｳﾜｧｧｧｧﾝ（ぱたぱた）
63,さくら：ｳﾜｧｧｧｧﾝ２（SVG専用）
64,さくら：はぁい！
65,さくら：ばんざーい♪
66,さくら：ふむ？
67,さくら：ぶ～っ
68,さくら：さぁ、何でしょう？
69,さくら：ぴし
70,さくら：どーしよ───！（ばたばた）
71,さくら：どーしよ───！２（SVG専用）
72,さくら：はぁ。（右向き）
73,さくら：はぁぁ。（左向き）
74,さくら：たそがれ
75,さくら：つるし
76,さくら：つるし with 清酒つるし
77,さくら：ゲッツ！
78,さくら：エプロンめくりっ
79,さくら：うわぁっ！
80,眼鏡さくら：素
81,眼鏡さくら：エロ面
82,眼鏡さくら：驚き
83,眼鏡さくら：困り
84,眼鏡さくら：ぐんにょり
85,眼鏡さくら：笑顔
86,眼鏡さくら：目閉じ
87,眼鏡さくら：怒り
88,眼鏡さくら：冷笑
89,さくら：修正してやるっ！
90,さくら：くるん
91,看板さくら：はぅぅ
92,看板さくら：うふふふ
93,さくら：こっちこいよぉ
94,さくら：ぬう(OPEN)
95,さくら：ぬう(CLOSE)
96,さくら：ふぁぁ‥‥（あくび）
97,さくら：あっかんべ～！
98,さくら：にひゃ！
99,さくら：もおぉ～っ！！


//-----------------------------------------------
// ■うにゅう拡張２(１３０～)
//-----------------------------------------------
130,うにゅう：素(左右反転)
131,うにゅう：刮目(左右反転)
132,うにゅう：さいたま～(左右反転)
133,うにゅう：ほんじゃー。
134,うにゅう：いねむり
135,うにゅう：いねむり２（SVG専用）
136,うにゅう：ぱたぱた
