#########################################################################
# Ｇｈｏｓｔ「．さくら」
# 季節ネタ
#
#########################################################################


#----------------------------------------------------------------------

一発ネタ00 : ${季節ネタ}
#季節ネタ.8   : ${h0}‥‥\w8\w8暑いな。${u0}ああ。
#季節ネタ.9.2 : ${h0}‥‥\w8\w8涼しくなったな。${u0}ああ。
#季節ネタ.9.3 : ${h0}‥‥\w8\w8ちょっと寒いね。${u0}ああ。
#季節ネタ.10.1 : ${h0}‥‥\w8\w8もうすぐ紅葉の季節だね。${u0}ああ。
#季節ネタ.10.2 : ${h0}‥‥\w8\w8そろそろ紅葉の季節だね。${u0}ああ。
#季節ネタ.10.2 : ${h0}‥‥\w8\w8そろそろ紅葉の季節だね。${u0}紅葉狩りでも行こうか。${h5}いいね、それ。
#季節ネタ.10.3 : ${h0}‥‥\w8\w8そろそろ紅葉の季節だね。${u0}ああ。
#季節ネタ.10.3 : ${h0}‥‥\w8\w8そろそろ紅葉の季節だね。${u0}紅葉狩りでも行こうか。${h5}いいね、それ。
#季節ネタ.11 : ${h0}‥‥\w8\w8紅葉の季節だね。${u0}ああ。
#季節ネタ.11 : ${h0}‥‥\w8\w8紅葉の季節だね。${u0}紅葉狩りでも行こうか。${h5}いいね、それ。
#季節ネタ.11 : ${h0}‥‥\w8\w8秋の夜長だね。${u0}ああ。
#季節ネタ.11 : ${h0}‥‥\w8\w8秋の夜長だね。${u0}エロゲー三昧やね。${h7}するなっ！
#季節ネタ.11 : ${h0}‥‥\w8\w8秋は銀杏が美味しいよね。${u0}ビールのつまみには最高やね。
#季節ネタ.11 : ${h0}‥‥\w8\w8マツタケご飯より栗ご飯だよね。${u0}それは貧乏人の言うことやで。${さくら、泣き}
#季節ネタ.11 : ${h0}‥‥\w8\w8こないだ、初霜が降りたって。${u0}風邪ひかんように気ぃつけなあかんな。${h0}そうだね。
#季節ネタ.11 : ${h0}‥‥\w8\w8\s[3]急に寒くなってきたよ。${u0}%usernameも体気ぃつけや。${h0}そうだよ。\w8寝冷えとか注意しないとね。




##----------------------------------------------------------------------
# 秋用
#季節ネタ : \0\s[6]秋。\w8ふと、\w6物悲しくなってしまう秋。\n\n\w8\w8\1\s[10]なに、似合わん事言うてんねん。\w8\w8\0\s[7]なんだと！\w8\w8\e
#季節ネタ : \0\s[4]なんか、季節が変わったのか変わってないのかわからないよ。\w8\w8\1\s[10]‥\w9‥\w9そりゃ、パソコンの中やしな。\w8\w8\e
#季節ネタ : \0\s[5]食欲の秋!\n\n\w8\w8\1\s[10]肥えるで。\w8\w8ムネ以外。\w8\w8\0\s[4]えぐえぐ\w9‥。\w8\w8\e
#季節ネタ : \0\s[3]夏も一段落したね。\n\n\w8\w8\1\s[10]変な夏やったなぁ。\w8\w8\0\s[6]夏らしくない夏だったね。\w8\w8\e
#季節ネタ : \0\s[6]‥‥\w8\w8涼しくなったね。\w8\w8\1\s[10]ああ。
#季節ネタ : \0\s[6]‥‥\w8\w8もうすぐ紅葉の季節だね。\w8\w8\1\s[10]ああ。
#季節ネタ : \0\s[6]‥‥\w8\w8そろそろ紅葉の季節だね。\w8\w8\1\s[10]紅葉狩りでも行こうか。\w8\w8\0\s[6]\n\nいいね、それ。
#季節ネタ : \0\s[6]‥‥\w8\w8秋の夜長だね。\w8\w8\1\s[10]ああ。
#季節ネタ : \0\s[6]‥‥\w8\w8秋の夜長だね。\w8\w8\1\s[10]エロゲー三昧やね。\w8\w8\0\s[7]\n\nするなっ！
#季節ネタ : \0\s[6]‥‥\w8\w8秋は、銀杏が美味しいよね。\w8\w8\1\s[10]ビールのつまみには最高やね。
#季節ネタ : \0\s[6]‥‥\w8\w8マツタケご飯より栗ご飯だよね。\w8\w8\1\s[10]それは貧乏人の言うことやで。${さくら、泣き}
#季節ネタ : \0\s[0]‥‥\w8\w8\s[4]急に寒くなるんだろうね。\w8\w8\1\s[10]%usernameも体気ぃつけや。\w8\w8\0\s[3]\n\nそうだよ。\w8寝冷えとか注意しないとね。
#季節ネタ : \0\s[5]${謎キャラ}は、ツインテール仲間だよね。\n\n\w8\w8\1\s[10]いや。\w6向こうの方がエエで。\w8\w8\0\s[4]くそう。\w8\w8\e
#謎キャラ : ６号さん
#謎キャラ : 芳乃さくら
#謎キャラ : 若林美絵
#謎キャラ : 美咲 彩
#謎キャラ : 鬼瓦まお
#謎キャラ : ホシノルリ
#
#季節ネタ : ${h3}阪神タイガースは残念だったね‥‥。${u0}まぁ、次があるやろ。${u7}阪神に次がいつあると思ってるんだ！１０年後？５０年後？１０世紀後か！？${uq}おちつけっ！！
#季節ネタ : ${h5}ダイエー日本一！${u0}強い試合は圧倒的やったね。${h0}競った試合は阪神が強かったね。${h6}良い試合だったよ。\{u}優勝セールはどうやったろうな？${h0}${変な食べ物}が人気だったらしいね。${u}‥‥、\w8\w8そうなんか？


##---------------------------------------------------------------------------------------------------------------------------
# １２月
# by.駅長
#季節ネタ : ${h5}冬が始まるよ♪${u}街はクリスマスの装いやね。${h0}先生じゃなくても走り回ってる人多いけどね。${u}‥‥\w8\w8師走？


###---------------------------------------------------------------------------------------------------------------------------
## 冬用（オリジナル）
##
#季節ネタ : ${h0}‥‥\w8\w8雪は降ってるのかな？${u0}どうやろね。
#季節ネタ : ${h0}‥‥\w8\w8お年玉、貰うほう？\w8それともあげるほうかな？${u0}‥‥
#季節ネタ : ${h0}‥‥\w8\w8クリスマスのプレゼントは用意した？${u0}‥‥
#季節ネタ : ${h0}‥‥\w8\w8星がキレイな季節だよね。${u0}お前に乙女チックは似合わんて。${h7}良いじゃないかっ！


###---------------------------------------------------------------------------------------------------------------------------
## 冬用（ボトルより）
##
